id_e,event_type,event_timestamp,prop_source,prop_medium,prop_article_content,prop_interaction_type
35e00c577b554e9f213c950f12480ee9d3b5e12a17488e93b3ffd2967af5a04c,social_share,1702974460,,email,tutorial,read
7d0537e5ab9cd13db765c54eed1897691dc435b6c8454caa95a3c8a2be83c78d,click,1706966980,email_campaign,email,tutorial,read
5aa0dfd36986b0000c46d1de9b5f28f9d4eb7c67af87037e7c6d1e478159b27c,form_submit,1705208140,email_campaign,organic,news,share
92019b443f38e38ece950cf7533025e7b45ad261ec4801d6c194183abfe6de47,click,1706682700,email_campaign,organic,review,
b4f91accf4950cb7e8151a8797a7053b919cb9fd18c1029b8b981bc40654a996,click,1703384980,social_media,email,,share
71aea910e6be91090f5b97600e71379e0aa923e6c7068cbb2b78944b1a856888,social_share,1706768920,social_media,cpc,review,
ca71a26ee77f385ce180f2cb02cfdea6cdf5a2c7a280c9ef39e531ab314b256b,form_submit,1701774700,email_campaign,organic,news,
6266ccc41052872a9fcc4bd3d44796cdc2023818df87ff008ec59ef9aa40a1fe,page_view,1704585580,email_campaign,referral,opinion,comment
fe693376b3b158555181f1a78c77253a5894f91530076d2142572922f279983e,social_share,1705190980,social_media,organic,,read
937cefe9a476e205bfe6e71bbbde86e51569759ed996906713253dc78084a121,click,1703055160,social_media,organic,,
7e34b1048f88c5f31965aa0a8302d23175d0b296a71940a37eb4ccf0c396d590,video_play,1703677540,search_engine,email,news,like
4695407145d2003801c9230a2525e6e61c6afdf5cf59b170a490a35891493701,social_share,1703943040,,cpc,tutorial,like
5843181b4b3f67309ce39d3f8541cd88291c4c27a7e597706e2eb3610d7965bc,form_submit,,direct,email,opinion,read
551e143cd708f87571b094cdfa4c1d8bdcd6593eebc30d1255b410822cf55d60,page_view,1706574280,direct,,review,share
31da771606bb50b6e20dd1aee8feb66e8c7b49df5dbc6687465f1478a01c50c5,social_share,1704750700,direct,cpc,,like
bf67decd1bc9549d6364a24f19fea4f67e58be3ab22fb44c60e04286b30719e4,page_view,1705426060,direct,,tutorial,like
753f8a928d742f5ea6f3693f69a9088b5d623a8ccd1d30f8383392035e333588,social_share,1705208500,search_engine,cpc,review,like
8e9cf34a2363453c459ef4382756d81866792627893f5044886237e2b1fb88c0,video_play,1703371480,search_engine,,,like
82ad407984506cfac9ba37defb7f1c342b370ca6d840ceaa7fa5f3e5b6aefede,social_share,1702033060,social_media,email,,share
0d27d4b6762b339904507d1412c111474f27facc8c0b9f8e0bf83ec5b7619011,page_view,1703951140,search_engine,,,share
