id_e,event_type,event_timestamp,prop_source,prop_medium,prop_article_content,prop_interaction_type
47b5fd8f2651c349f6c073acc6e2f115f8cbd2b80170aaaf32966caa4860cdb3,click,1703375958,,cpc,tutorial,share
,form_submit,1702654158,,referral,tutorial,comment
c366eef866c0c88326a7b6a10dba3f7b5d1203b0786a0fa2400dec01bb0ab3b4,video_play,,social_media,email,tutorial,
853ba46b0a14d285a35a4e072a085fe55240ce0f446c21a787f0787528f8f14b,page_view,1704810498,,referral,,comment
62a245dac5c89cf527e76df4f01e0fab92f43d843135c63dbc877fba8a4d0b04,click,1699703838,social_media,cpc,,comment
1c155ab6aa63e283977ee99214ce53d75af3db7a333c33491e0bdbe765d71886,click,1705876998,email_campaign,,opinion,share
2ec3d10e8fc5da0ea7f442513d27851f6cf9e3dc2935bfb2cd5a46374e739be4,form_submit,1704869538,,email,,
77a8e9d83d990dba12aeaef387d1a414e48d8e0bcf561c738354a7d9b3e2e874,form_submit,1704551118,direct,organic,,share
eb03262843ac6165d3644547dfa6c833cee8bf7c9c2fcf1b91b2e39420c23794,form_submit,1700701158,social_media,organic,tutorial,like
cff14211e77b508a4f8d6ee28710ad93ecb5278b17fcf02bc9f8863e82c23898,video_play,1704618378,direct,organic,review,read
5ff38ef4d3340be6b16031bf12f7b57e2d73212afce96dfb505b6d63bcafaa76,click,1705329858,email_campaign,email,,
1403d550d16a6d372ff42853ccc3b352b13f4ffd99789f10ecf189fa7fc27f7a,click,1700440938,social_media,,opinion,
8aaa75e12d303e84eac2840c34031db957e70e92c7087cd9b598e38e013340e4,click,1701680118,,,review,like
254014a17d9de027e52e2bd868ddfdfdf10b4daff2249e6ca0913b61475361ed,video_play,1699438398,direct,referral,opinion,
6a7d1a88df62c5c5252f27b49e4d0ad33e5a4ace6f8d6af9df97ba39cae37a46,form_submit,1703975478,social_media,cpc,tutorial,share
bb4e505befd8a669e4546016c183bd5c3ab76b65cf4e2ce81ab6401caa682e1d,social_share,1699436658,social_media,organic,tutorial,like
f659b8619d279b104527fd56d951c1f67576b13db314b45b3763e5b35b4689bb,video_play,1701390078,email_campaign,email,review,read
ddb0677722d83f8621a2c2f3ec492b0b676ce14590a41598e3de78ad3fbfbdfb,click,1701566838,email_campaign,,review,
a5ea96d23e5f6b82c967b141212f52e4b2fdded7c6f032386f1145d5e9396a88,social_share,1704891978,search_engine,organic,opinion,
4d11b2428a2c3ddeca84993fd8f065e81f6348f1d0c267d93530755276b4c1fb,click,1701483378,direct,email,,
4987efce0bcbb7877305717b525e3635376eb0f07af7c7bc53a61e5fb3bddaf8,social_share,1703297718,direct,cpc,tutorial,share
1c95a18c491e9f800cd5d83e3dd60ec04c7ad2f022db670ed61508b12e57bf37,page_view,1703831058,search_engine,cpc,tutorial,read
874744c18fe661dc2f51637f5761d903d25c939e3c92b2cabd120a16372575dc,click,1700732898,search_engine,referral,news,read
b15fd29fc0547e59450a5535243daec3de775326c756a1e94c776ed39f33097f,social_share,1706067678,search_engine,organic,opinion,comment
2aeb57e4633ea74ff92675f2cfcaba673136ea9a69de1e815a82bf87c2a432ab,page_view,1702875858,,cpc,,like
dacc23fc1c88940c58ae6fb874f0d98989a793e1d3961cf62fcc8756a074c37e,page_view,1704295518,email_campaign,,,comment
318d2467af3b0b2c05d00a830e83198986fe53890781d3521c1b34a136241132,social_share,1705386138,,email,,comment
bb7726413f9f894d0646b993fdc27d869840a6ecaf868ec3eaa7963dbc47aac3,page_view,1706868378,search_engine,cpc,,
7f8c442409f29652639ad79e4cf9ea7e16e4596292b8da2081e3da0875312bec,video_play,1702161198,email_campaign,email,news,share
00d599cad70acbd43c309da5ce64b2bafe0a48d7d8e7ca071e1ebc3a71c938db,social_share,1703533878,search_engine,referral,news,like
162607c93df6c02a39215bc0b3a820436bb37fd20524fcbf0b12cc61efa5d3e5,video_play,1704226338,,organic,tutorial,comment
2456721a80ffd8d31b954ad11ada4c0ff0aff82abf95f367e12ef24e3c7d77ee,video_play,1706936418,,,,share
e34af32c8c2e0670abd62f435b469916683ca8929731e14b0fc84c27dd18dc70,social_share,1701569118,,email,opinion,share
10c5917eacbc6bc0e65ba5dd755ca58913dfe4f283b3549208444318c056d237,form_submit,,,,review,comment
